asin,title,category_primary,all_categories,price,recovered_image_url,canonical_source_url,url_count,has_clean_url,has_trashed_dupe
B07XVFB67J,"Bluetooth Speaker,MusiBaby Speaker,Wireless,Outdoor, Waterproof,Portable Speaker,Dual Pairing, Bluetooth 5.0,Loud Stereo,Booming Bass,24H Playtime for Home&Party, (BLK)",audio,audio,31.69,https://m.media-amazon.com/images/I/41SVdLOEgEL.jpg,https://techwhizmart.com/product/bluetooth-speakersmusibaby-speakeroutdoor-portablewaterproofwireless-speakerdual-pairing-bluetooth-5-0loud-stereobooming-bass1500-mins-playtime-for-homepartygiftsblack__trashed/,1,False,True
B0B6D48TB3,"2017 Apple iMac with 2.3GHz Intel Core i5 (21.5-inch, 16GB RAM, 1TB HDD Storage) - Silver (Renewed)",desktops,computers;desktops,281.19,https://m.media-amazon.com/images/I/71lJR0YiUTL.jpg,https://techwhizmart.com/product/2017-apple-imac-with-2-3ghz-intel-core-i5-21-5-inch-16gb-ram-1tb-hdd-storage-silver-renewed/,1,True,False
B07XQM23T7,"2019 Apple iMac with Retina 4K/3.6 GHz Intel Core i3 Quad-Core (21.5-Inch, 8GB RAM, 1TB) - Silver (Renewed)",desktops,computers;desktops,359.95,https://m.media-amazon.com/images/I/41Dj242ihCL.jpg,https://techwhizmart.com/product/2019-apple-imac-with-retina-4k-3-6-ghz-intel-core-i3-quad-core-21-5-inch-8gb-ram-1tb-silver-renewed/,1,True,False
B0CW4NWP8V,"2023 Apple iMac with Apple M3 Chip (24-inch, 8GB RAM, 256GB SSD) (QWERTY English) Blue (Renewed)",desktops,computers;desktops,1099.00,https://m.media-amazon.com/images/I/41ABL+pRmDL.jpg,https://techwhizmart.com/product/2023-apple-imac-with-apple-m3-chip-24-inch-8gb-ram-256gb-ssd-qwerty-english-blue-renewed/,1,True,False
B0C6YQN12S,"Acer Aspire TC-1780-UA92 Desktop | 13th Gen Intel Core i5-13400 Processor | 8GB 3200MHz DDR4 | 512GB M.2 SSD | SD Card Reader | Intel Wi-Fi 6E AX211 | Windows 11 Home, Black",desktops,computers;desktops,479.99,https://m.media-amazon.com/images/I/31XvubwHFNL.jpg,https://techwhizmart.com/product/acer-aspire-tc-1780-ua92-desktop-13th-gen-intel-core-i5-13400-processor-8gb-3200mhz-ddr4-512gb-m-2-ssd-sd-card-reader-intel-wi-fi-6e-ax211-windows-11-home-black/,1,True,False
B088X2YR3X,"Acer Aspire TC-895-UA92 Desktop, 10th Gen Intel Core i5-10400 6-Core Processor, 12GB 2666MHz DDR4, 512GB NVMe M.2 SSD, 8X DVD, 802.11ax Wi-Fi 6, USB 3.2 Type C, Windows 10 Home",desktops,computers;desktops,589.00,https://m.media-amazon.com/images/I/41cjfqb+j0L.jpg,https://techwhizmart.com/product/acer-aspire-tc-895-ua92-desktop-10th-gen-intel-core-i5-10400-6-core-processor-12gb-2666mhz-ddr4-512gb-nvme-m-2-ssd-8x-dvd-802-11ax-wi-fi-6-usb-3-2-type-c-windows-10-home__trashed/,1,False,True
B00M4LWXI0,"Apple iMac 21.5in 2.7GHz Core i5 (ME086LL/A) All In One Desktop, 8GB Memory, 1TB Hard Drive, Mac OS X Mountain Lion…",desktops,computers;desktops,289.99,https://m.media-amazon.com/images/I/41cb2M8SRzL.jpg,https://techwhizmart.com/product/apple-imac-21-5in-2-7ghz-core-i5-me086ll-a-all-in-one-desktop-8gb-memory-1tb-hard-drive-mac-os-x-mountain-lion-renewed__trashed/,1,False,True
B0798WNZVZ,"Apple iMac 21.5in 2.7GHz Core i5 (ME086LL/A) All In One Desktop, 8GB Memory, 256GB Solid State Drive, MacOS 10.12 Sierra (Renewed)",desktops,computers;desktops,399.97,https://m.media-amazon.com/images/I/51VnSCKr5cL.jpg,https://techwhizmart.com/product/apple-imac-21-5in-2-7ghz-core-i5-me086ll-a-all-in-one-desktop-8gb-memory-256gb-solid-state-drive-macos-10-12-sierra-renewed/,1,True,False
B0100PGME2,"Apple iMac MF883LL/A 21.5-Inch 500GB Desktop, Intel,8 GB (Renewed)",desktops,computers;desktops,225.00,https://m.media-amazon.com/images/I/410kJYxwH0S.jpg,https://techwhizmart.com/product/apple-imac-mf883ll-a-21-5-inch-500gb-desktop-renewed__trashed/,1,False,True
B09DHP9M9G,"CYBERPOWERPC Gamer Xtreme VR Gaming PC, Intel Core i5-11400F 2.6GHz, 8GB DDR4, GeForce RTX 2060 6GB, 500GB NVMe SSD, WiFi Ready & Win 11 Home (GXiVR8060A11)",desktops,computers;desktops,1020.00,https://m.media-amazon.com/images/I/51rGP3HU3HL.jpg,https://techwhizmart.com/product/cyberpowerpc-gamer-xtreme-vr-gaming-pc-intel-core-i5-11400f-2-6ghz-8gb-ddr4-geforce-rtx-2060-6gb-500gb-nvme-ssd-wifi-ready-win-11-home-gxivr8060a11__trashed/,1,False,True
